O*NET-SOC Code	Task ID	Task	Green Task Type	Date	Domain Source
17-3029.10	19956	Report results of fuel cell tests.	Existing Green Task	07/2011	Analyst
17-3029.10	16745	Test fuel cells or fuel cell stacks, using complex electronic equipment.	Existing Green Task	07/2011	Analyst
17-3029.10	19955	Order fuel cell testing materials.	Existing Green Task	07/2011	Analyst
17-3029.10	16735	Perform routine vehicle maintenance procedures, such as part replacements or tune-ups.	Existing Green Task	07/2011	Analyst
17-3029.10	16734	Recommend improvements to fuel cell design or performance.	Existing Green Task	07/2011	Analyst
17-3029.10	19954	Troubleshoot fuel cell test equipment.	Existing Green Task	07/2011	Analyst
17-3029.10	19959	Conduct tests or provide technical support for tests of prototype fuel cell engines or thermal management systems.	New Green Task	07/2011	Analyst
17-3029.10	19960	Install or test spark ignition (SI) or compression ignition (CI) engines.	New Green Task	07/2011	Analyst
17-3029.10	19961	Install, calibrate, or operate emissions analyzers, cell assist software, fueling systems, or air conditioning systems in engine testing systems.	New Green Task	07/2011	Analyst
17-3029.10	19962	Perform electrochemical performance or durability testing of solid oxide fuel cells.	New Green Task	07/2011	Analyst
17-3029.11	19741	Analyze the life cycle of nanomaterials or nano-enabled products to determine environmental impact.	New Green Task	07/2011	Analyst
17-3029.11	19742	Capture nanoparticle contaminants, using techniques such as electrical fields or electrospinning.	New Green Task	07/2011	Analyst
17-3029.11	19743	Compare the performance or environmental impact of nanomaterials by nanoparticle size, shape, or organization.	New Green Task	07/2011	Analyst
17-3029.11	19744	Mix raw materials or catalysts to manufacture nanoparticles according to specifications, ensuring proper particle size, shape, or organization.	New Green Task	07/2011	Analyst
17-3029.11	19745	Monitor hazardous waste cleanup procedures to ensure proper application of nanocomposites or accomplishment of objectives.	New Green Task	07/2011	Analyst
17-3029.11	19746	Process nanoparticles or nanostructures, using technologies such as ultraviolet radiation, microwave energy, or catalysis.	New Green Task	07/2011	Analyst
17-3029.12	19747	Measure emission of nanodust or nanoparticles during nanocomposite or other nano-scale production processes, using systems such as aerosol detection systems.	New Green Task	07/2013	Analyst
17-3029.12	19748	Measure or report toxicity of engineered nanoparticles.	New Green Task	07/2013	Analyst
17-3029.12	19749	Test nano-enabled products to determine amount of shedding or loss of nanoparticles.	New Green Task	07/2013	Analyst
19-1013.00	9025	Conduct experiments to develop new or improved varieties of field crops, focusing on characteristics such as yield, quality, disease resistance, nutritional value, or adaptation to specific soils or climates.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	9022	Provide information or recommendations to farmers or other landowners regarding ways in which they can best use land, promote plant growth, or avoid or correct problems such as erosion.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	19751	Develop environmentally safe methods or products for controlling or eliminating weeds, crop diseases, or insect pests.	New Green Task	07/2014	Occupational Expert
19-1013.00	9026	Investigate soil problems or poor water quality to determine sources and effects.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	9029	Conduct experiments investigating how soil forms, changes, or interacts with land-based ecosystems or living organisms.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	19752	Investigate responses of soils to specific management practices to determine the effects of alternative practices on the environment.	New Green Task	07/2014	Occupational Expert
19-1013.00	9024	Develop methods of conserving or managing soil that can be applied by farmers or forestry companies.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	19754	Study ways to improve agricultural sustainability, such as the use of new methods of composting.	New Green Task	07/2014	Occupational Expert
19-1013.00	9030	Identify degraded or contaminated soils and develop plans to improve their chemical, biological, or physical characteristics.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	9034	Provide advice regarding the development of regulatory standards for land reclamation or soil conservation.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	9037	Consult with engineers or other technical personnel working on construction projects about the effects of soil problems and possible solutions to these problems.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	9028	Develop improved measurement techniques, soil conservation methods, soil sampling devices, or related technology.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	19753	Research technical requirements or environmental impacts of urban green spaces, such as green roof installations.	New Green Task	07/2014	Occupational Expert
19-1013.00	9031	Survey undisturbed or disturbed lands for classification, inventory, mapping, environmental impact assessments, environmental protection planning, conservation planning, or reclamation planning.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	19750	Conduct research into the use of plant species as green fuels or in the production of green fuels.	New Green Task	07/2014	Occupational Expert
19-1013.00	20199	Plan or supervise land conservation or reclamation programs for industrial development projects.	Existing Green Task	07/2014	Occupational Expert
19-1013.00	20198	Plan or supervise waste management programs for composting or farming.	Existing Green Task	07/2014	Occupational Expert
19-1031.01	20036	Implement soil or water management techniques, such as nutrient management, erosion control, buffers, or filter strips, in accordance with conservation plans.	New Green Task	07/2011	Occupational Expert
19-1031.01	9047	Monitor projects during or after construction to ensure projects conform to design specifications.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20044	Visit areas affected by erosion problems to identify causes or determine solutions.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20041	Advise land users, such as farmers or ranchers, on plans, problems, or alternative conservation solutions.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9042	Develop or maintain working relationships with local government staff or board members.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9043	Apply principles of specialized fields of science, such as agronomy, soil science, forestry, or agriculture, to achieve conservation objectives.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20042	Gather information from geographic information systems (GIS) databases or applications to formulate land use recommendations.	New Green Task	07/2011	Occupational Expert
19-1031.01	20039	Compute design specifications for implementation of conservation practices, using survey or field information technical guides or engineering manuals.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20048	Participate on work teams to plan, develop, or implement programs or policies for improving environmental habitats, wetlands, or groundwater or soil resources.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9064	Conduct fact-finding or mediation sessions among government units, landowners, or other agencies to resolve disputes.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9049	Revisit land users to view implemented land use practices or plans.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9057	Respond to complaints or questions on wetland jurisdiction, providing information or clarification.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9055	Compute cost estimates of different conservation practices, based on needs of land users, maintenance requirements, or life expectancy of practices.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9056	Provide information, knowledge, expertise, or training to government agencies at all levels to solve water or soil management problems or to assure coordination of resource protection activities.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9051	Analyze results of investigations to determine measures needed to maintain or restore proper soil management.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9050	Coordinate or implement technical, financial, or administrative assistance programs for local government units to ensure efficient program implementation or timely responses to requests for assistance.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9062	Review proposed wetland restoration easements or provide technical recommendations.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20043	Identify or recommend integrated weed and pest management (IPM) strategies, such as resistant plants, cultural or behavioral controls, soil amendments, insects, natural enemies, barriers, or pesticides.	New Green Task	07/2011	Occupational Expert
19-1031.01	20045	Develop, conduct, or participate in surveys, studies, or investigations of various land uses to inform corrective action plans.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9060	Manage field offices or involve staff in cooperative ventures.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9045	Plan soil management or conservation practices, such as crop rotation, reforestation, permanent vegetation, contour plowing, or terracing, to maintain soil or conserve water.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9058	Initiate, schedule, or conduct annual audits or compliance checks of program implementation by local government.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20046	Develop water conservation or harvest plans, using weather information systems, irrigation information management systems, or other sources of daily evapotranspiration (ET) data.	New Green Task	07/2011	Occupational Expert
19-1031.01	9054	Survey property to mark locations or measurements, using surveying instruments.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9061	Review or approve amendments to comprehensive local water plans or conservation district plans.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20037	Enter local soil, water, or other environmental data into adaptive or web-based decision tools to identify appropriate analyses or techniques.	New Green Task	07/2011	Occupational Expert
19-1031.01	20047	Develop or conduct environmental studies, such as plant material field trials or wildlife habitat impact studies.	New Green Task	07/2011	Occupational Expert
19-1031.01	9066	Provide access to programs or training to assist in completion of government groundwater protection plans.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20040	Compile or interpret biodata to determine extent or type of wetlands or to aid in program formulation.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	20035	Calculate or compare efficiencies associated with changing from low-precision irrigation technologies, such as furrow irrigation, to high-precision technologies, such as computer-controlled systems.	New Green Task	07/2011	Occupational Expert
19-1031.01	20038	Evaluate or recommend geographic information systems (GIS) applications to address issues such as surface water quality, groundwater quality, ecological risk assessments, air quality, or environmental contamination.	New Green Task	07/2011	Occupational Expert
19-1031.01	9065	Review annual reports of counties, conservation districts, or watershed management organizations, certifying compliance with mandated reporting requirements.	Existing Green Task	07/2011	Occupational Expert
19-1031.01	9063	Review grant applications or make funding recommendations.	Existing Green Task	07/2011	Occupational Expert
19-2021.00	20209	Interpret data, reports, maps, photographs, or charts to predict long- or short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	9079	Conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	19759	Formulate predictions by interpreting environmental data, such as meteorological, atmospheric, oceanic, paleoclimate, climate, or related information.	New Green Task	07/2012	Occupational Expert
19-2021.00	20203	Consult with other offices, agencies, professionals, or researchers regarding the use and interpretation of climatological information for weather predictions and warnings.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	20210	Conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	20205	Analyze historical climate information, such as precipitation or temperature records, to help predict future weather or climate trends.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	19755	Analyze climate data sets, using techniques such as geophysical fluid dynamics, data assimilation, or numerical modeling.	New Green Task	07/2012	Occupational Expert
19-2021.00	20207	Apply meteorological knowledge to issues such as global warming, pollution control, or ozone depletion.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	20212	Research the impact of industrial projects or pollution on climate, air quality, or weather phenomena.	Existing Green Task	07/2012	Occupational Expert
19-2021.00	19757	Create visualizations to illustrate historical or future changes in the Earth's climate, using paleoclimate or climate geographic information systems (GIS) databases.	New Green Task	07/2012	Occupational Expert
19-2021.00	19756	Conduct wind assessment, integration, or validation studies.	New Green Task	07/2012	Occupational Expert
19-2021.00	19758	Estimate or predict the effects of global warming over time for specific geographic regions.	New Green Task	07/2012	Occupational Expert
19-2041.01	16849	Provide analytical support for policy briefs related to renewable energy, energy efficiency, or climate change.	New Green Task	07/2013	Occupational Expert
19-2041.01	16854	Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.	New Green Task	07/2013	Occupational Expert
19-2041.01	16850	Prepare study reports, memoranda, briefs, testimonies, or other written materials to inform government or environmental groups on environmental issues such as climate change.	New Green Task	07/2013	Occupational Expert
19-2041.01	16851	Make legislative recommendations related to climate change or environmental management, based on climate change policies, principles, programs, practices, and processes.	New Green Task	07/2013	Occupational Expert
19-2041.01	16842	Promote initiatives to mitigate climate change with government or environmental groups.	New Green Task	07/2013	Occupational Expert
19-2041.01	16852	Research policies, practices, or procedures for climate or environmental management.	New Green Task	07/2013	Occupational Expert
19-2041.01	16848	Review existing policies or legislation to identify environmental impacts.	New Green Task	07/2013	Occupational Expert
19-2041.01	16841	Write reports or academic papers to communicate findings of climate-related studies.	New Green Task	07/2013	Occupational Expert
19-2041.01	16843	Present climate-related information at public interest, governmental, or other meetings.	New Green Task	07/2013	Occupational Expert
19-2041.01	16846	Gather and review climate-related studies from government agencies, research laboratories, and other organizations.	New Green Task	07/2013	Occupational Expert
19-2041.01	16845	Prepare grant applications to obtain funding for programs related to climate change, environmental management, or sustainability.	New Green Task	07/2013	Occupational Expert
19-2041.01	16853	Propose new or modified policies involving use of traditional and alternative fuels, transportation of goods, and other factors relating to climate and climate change.	New Green Task	07/2013	Occupational Expert
19-2041.01	16847	Develop, or contribute to the development of, educational or outreach programs on the environment or climate change.	New Green Task	07/2013	Occupational Expert
19-2041.01	16844	Present and defend proposals for climate change research projects.	New Green Task	07/2013	Occupational Expert
19-2041.02	16872	Collect and analyze data to determine environmental conditions and restoration needs.	New Green Task	07/2013	Occupational Expert
19-2041.02	16857	Develop and communicate recommendations for landowners to maintain or restore environmental conditions.	New Green Task	07/2013	Occupational Expert
19-2041.02	16865	Plan environmental restoration projects, using biological databases, environmental strategies, and planning software.	New Green Task	07/2013	Occupational Expert
19-2041.02	16871	Communicate findings of environmental studies or proposals for environmental remediation to other restoration professionals.	New Green Task	07/2013	Occupational Expert
19-2041.02	16876	Conduct site assessments to certify a habitat or to ascertain environmental damage or restoration needs.	New Green Task	07/2013	Occupational Expert
19-2041.02	16856	Develop environmental restoration project schedules and budgets.	New Green Task	07/2013	Occupational Expert
19-2041.02	16875	Create habitat management or restoration plans, such as native tree restoration and weed control.	New Green Task	07/2013	Occupational Expert
19-2041.02	16861	Supervise and provide technical guidance, training, or assistance to employees working in the field to restore habitats.	New Green Task	07/2013	Occupational Expert
19-2041.02	16859	Apply for permits required for the implementation of environmental remediation projects.	New Green Task	07/2013	Occupational Expert
19-2041.02	16858	Create diagrams to communicate environmental remediation planning using geographic information systems (GIS), computer-aided design (CAD), or other mapping or diagramming software.	New Green Task	07/2013	Occupational Expert
19-2041.02	16866	Identify short- and long-term impacts of environmental remediation activities.	New Green Task	07/2013	Occupational Expert
19-2041.02	16862	Provide technical direction on environmental planning to energy engineers, biologists, geologists, or other professionals working to develop restoration plans or strategies.	New Green Task	07/2013	Occupational Expert
19-2041.02	16870	Conduct environmental impact studies to examine the ecological effects of pollutants, disease, human activities, nature, and climate change.	New Green Task	07/2013	Occupational Expert
19-2041.02	16869	Conduct feasibility and cost-benefit studies for environmental remediation projects.	New Green Task	07/2013	Occupational Expert
19-2041.02	16860	Review existing environmental remediation designs.	New Green Task	07/2013	Occupational Expert
19-2041.02	16873	Develop natural resource management plans, using knowledge of environmental planning or state and federal environmental regulatory requirements.	New Green Task	07/2013	Occupational Expert
19-2041.02	16867	Identify environmental mitigation alternatives, ensuring compliance with applicable standards, laws, or regulations.	New Green Task	07/2013	Occupational Expert
19-2041.02	16864	Inspect active remediation sites to ensure compliance with environmental or safety policies, standards, or regulations.	New Green Task	07/2013	Occupational Expert
19-2041.02	16868	Create environmental models or simulations, using geographic information system (GIS) data and knowledge of particular ecosystems or ecological regions.	New Green Task	07/2013	Occupational Expert
19-2041.02	16855	Notify regulatory or permitting agencies of deviations from implemented remediation plans.	New Green Task	07/2013	Occupational Expert
19-2041.02	16874	Develop environmental management or restoration plans for sites with power transmission lines, natural gas pipelines, fuel refineries, geothermal plants, wind farms, or solar farms.	New Green Task	07/2013	Occupational Expert
19-2041.02	16863	Plan or supervise environmental studies to achieve compliance with environmental regulations in construction, modification, operation, acquisition, or divestiture of facilities such as power plants.	New Green Task	07/2013	Occupational Expert
19-2041.03	19972	Identify environmental impacts caused by products, systems, or projects.	New Green Task	07/2015	Occupational Expert
19-2041.03	19970	Examine local, regional or global use and flow of materials or energy in industrial production processes.	New Green Task	07/2015	Occupational Expert
19-2041.03	16888	Identify or develop strategies or methods to minimize the environmental impact of industrial production processes.	New Green Task	07/2015	Occupational Expert
19-2041.03	19978	Prepare technical and research reports such as environmental impact reports, and communicate the results to individuals in industry, government, or the general public.	New Green Task	07/2015	Occupational Expert
19-2041.03	19965	Analyze changes designed to improve the environmental performance of complex systems to avoid unintended negative consequences.	New Green Task	07/2015	Occupational Expert
19-2041.03	19982	Review research literature to maintain knowledge on topics related to industrial ecology, such as physical science, technology, economy, and public policy.	New Green Task	07/2015	Occupational Expert
19-2041.03	19963	Recommend methods to protect the environment or minimize environmental damage from industrial production practices.	New Green Task	07/2015	Occupational Expert
19-2041.03	16894	Build and maintain databases of information about energy alternatives, pollutants, natural environments, industrial processes, and other information related to ecological change.	New Green Task	07/2015	Occupational Expert
19-2041.03	19973	Identify or compare the component parts or relationships between the parts of industrial, social, and natural systems.	New Green Task	07/2015	Occupational Expert
19-2041.03	19980	Redesign linear, or open loop, systems into cyclical, or closed loop, systems so that waste products become inputs for new processes, modeling natural ecosystems.	New Green Task	07/2015	Occupational Expert
19-2041.03	19968	Conduct environmental sustainability assessments, using material flow analysis (MFA) or substance flow analysis (SFA) techniques.	New Green Task	07/2015	Occupational Expert
19-2041.03	19974	Identify sustainable alternatives to industrial or waste management practices.	New Green Task	07/2015	Occupational Expert
19-2041.03	16881	Review industrial practices, such as the methods and materials used in construction or production, to identify potential liabilities and environmental hazards.	New Green Task	07/2015	Occupational Expert
19-2041.03	19983	Translate the theories of industrial ecology into eco-industrial practices.	New Green Task	07/2015	Occupational Expert
19-2041.03	19977	Prepare plans to manage renewable resources.	New Green Task	07/2015	Occupational Expert
19-2041.03	19971	Examine societal issues and their relationship with both technical systems and the environment.	New Green Task	07/2015	Occupational Expert
19-2041.03	16884	Plan or conduct studies of the ecological implications of historic or projected changes in industrial processes or development.	New Green Task	07/2015	Occupational Expert
19-2041.03	16883	Provide industrial managers with technical materials on environmental issues, regulatory guidelines, or compliance actions.	New Green Task	07/2015	Occupational Expert
19-2041.03	16893	Carry out environmental assessments in accordance with applicable standards, regulations, or laws.	New Green Task	07/2015	Occupational Expert
19-2041.03	16885	Plan or conduct field research on topics such as industrial production, industrial ecology, population ecology, and environmental production or sustainability.	New Green Task	07/2015	Occupational Expert
19-2041.03	16882	Research sources of pollution to determine environmental impact or to develop methods of pollution abatement or control.	New Green Task	07/2015	Occupational Expert
19-2041.03	16895	Forecast future status or condition of ecosystems, based on changing industrial practices or environmental conditions.	New Green Task	07/2015	Occupational Expert
19-2041.03	19975	Perform analyses to determine how human behavior can affect and be affected by changes in the environment.	New Green Task	07/2015	Occupational Expert
19-2041.03	19979	Promote use of environmental management systems (EMS) to reduce waste or to improve environmentally sound use of natural resources.	New Green Task	07/2015	Occupational Expert
19-2041.03	16886	Monitor the environmental impact of development activities, pollution, or land degradation.	New Green Task	07/2015	Occupational Expert
19-2041.03	19964	Develop alternative energy investment scenarios to compare economic and environmental costs and benefits.	New Green Task	07/2015	Occupational Expert
19-2041.03	16889	Investigate the impact of changed land management or land use practices on ecosystems.	New Green Task	07/2015	Occupational Expert
19-2041.03	19981	Research environmental effects of land and water used to determine methods of improving environmental conditions or increasing outputs such as crop yields.	New Green Task	07/2015	Occupational Expert
19-2041.03	19976	Perform environmentally extended input-output (EE I-O) analyses.	New Green Task	07/2015	Occupational Expert
19-2041.03	19966	Apply new or existing research about natural ecosystems to understand economic and industrial systems in the context of the environment.	New Green Task	07/2015	Occupational Expert
19-2041.03	16879	Investigate accidents affecting the environment to assess ecological impact.	New Green Task	07/2015	Occupational Expert
19-2041.03	16891	Create complex and dynamic mathematical models of population, community, or ecological systems.	New Green Task	07/2015	Occupational Expert
19-2041.03	16896	Conduct applied research on the effects of industrial processes on the protection, restoration, inventory, monitoring, or reintroduction of species to the natural environment.	New Green Task	07/2015	Occupational Expert
19-2041.03	19969	Evaluate the effectiveness of industrial ecology programs using statistical analysis and applications.	New Green Task	07/2015	Occupational Expert
19-2041.03	16892	Conduct scientific protection, mitigation, or restoration projects to prevent resource damage, maintain the integrity of critical habitats, and minimize the impact of human activities.	New Green Task	07/2015	Occupational Expert
19-2041.03	19967	Conduct analyses to determine the maximum amount of work that can be accomplished for a given amount of energy in a system, such as industrial production systems and waste treatment systems.	New Green Task	07/2015	Occupational Expert
19-2041.03	16890	Develop or test protocols to monitor ecosystem components and ecological processes.	New Green Task	07/2015	Occupational Expert
19-2041.03	16880	Investigate the adaptability of various animal and plant species to changed environmental conditions.	New Green Task	07/2015	Occupational Expert
19-2042.00	3707	Assess ground or surface water movement to provide advice regarding issues such as waste management, route and site selection, or the restoration of contaminated sites.	Existing Green Task	07/2013	Occupational Expert
19-2042.00	20390	Locate and review research articles or environmental, historical, or technical reports.	Existing Green Task	07/2013	Occupational Expert
19-2042.00	19760	Collaborate with medical or health researchers to address health problems related to geological materials or processes.	New Green Task	07/2011	Analyst
19-2042.00	19761	Determine methods to incorporate geo-methane or methane hydrates into global energy production or evaluate the potential environmental impacts of such incorporation.	New Green Task	07/2011	Analyst
19-2042.00	19762	Determine ways to mitigate the negative consequences of mineral dust dispersion.	New Green Task	07/2011	Analyst
19-2042.00	19763	Develop strategies for more environmentally friendly resource extraction and reclamation.	New Green Task	07/2011	Analyst
19-2042.00	19764	Develop ways to capture or use gases that are currently burned off as waste during oil production processes.	New Green Task	07/2011	Analyst
19-2042.00	19765	Identify new sources for Platinum Group Elements necessary for industrial uses, such as automotive fuel cells or pollution abatement systems.	New Green Task	07/2011	Analyst
19-2042.00	19766	Identify possible sites for carbon sequestration projects.	New Green Task	07/2011	Analyst
19-2042.00	19767	Locate potential sources of geothermal energy.	New Green Task	07/2011	Analyst
19-2042.00	19768	Provide advice on the safe siting of new nuclear reactor projects or methods of nuclear waste management.	New Green Task	07/2011	Analyst
19-2042.00	19769	Research geomechanical or geochemical processes to be used in carbon sequestration projects.	New Green Task	07/2011	Analyst
19-2042.00	19770	Research ways to reduce the ecological footprint of increasingly prevalent megacities.	New Green Task	07/2011	Analyst
19-2042.00	19771	Review environmental cleanup work plans to determine the effectiveness of the remedial activities for mitigating soil or groundwater contamination.	Existing Green Task	07/2011	Analyst
19-2042.00	19772	Study historical climate change indicators found in locations such as ice sheets or rock formations to develop models related to current climate changes.	New Green Task	07/2011	Analyst
19-2099.01	19773	Apply remote sensing data or techniques to address environmental issues, such as surface water modeling or dust cloud detection.	New Green Task	07/2011	Analyst
19-2099.01	19774	Use remote sensing data for forest or carbon tracking activities involved in assessing the impact of environmental change.	New Green Task	07/2011	Analyst
19-3011.01	16902	Write technical documents or academic articles to communicate study results or economic forecasts.	New Green Task	07/2012	Occupational Expert
19-3011.01	16915	Conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection.	New Green Task	07/2012	Occupational Expert
19-3011.01	19985	Assess the costs and benefits of various activities, policies, or regulations that affect the environment or natural resource stocks.	New Green Task	07/2012	Occupational Expert
19-3011.01	16910	Collect and analyze data to compare the environmental implications of economic policy or practice alternatives.	New Green Task	07/2012	Occupational Expert
19-3011.01	16897	Prepare and deliver presentations to communicate economic and environmental study results, to present policy recommendations, or to raise awareness of environmental consequences.	New Green Task	07/2012	Occupational Expert
19-3011.01	19984	Develop programs or policy recommendations to achieve environmental goals in cost-effective ways.	New Green Task	07/2012	Occupational Expert
19-3011.01	16913	Perform complex, dynamic, and integrated mathematical modeling of ecological, environmental, or economic systems.	New Green Task	07/2012	Occupational Expert
19-3011.01	16904	Write research proposals and grant applications to obtain private or public funding for environmental and economic studies.	New Green Task	07/2012	Occupational Expert
19-3011.01	16914	Conduct research to study the relationships among environmental problems and patterns of economic production and consumption.	New Green Task	07/2012	Occupational Expert
19-3011.01	16903	Write social, legal, or economic impact statements to inform decision-makers for natural resource policies, standards, or programs.	New Green Task	07/2012	Occupational Expert
19-3011.01	16908	Develop environmental research project plans, including information on budgets, goals, deliverables, timelines, and resource requirements.	New Green Task	07/2012	Occupational Expert
19-3011.01	16909	Develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.	New Green Task	07/2012	Occupational Expert
19-3011.01	19986	Develop programs or policy recommendations to promote sustainability and sustainable development.	New Green Task	07/2012	Occupational Expert
19-3011.01	16901	Demonstrate or promote the economic benefits of sound environmental regulations.	New Green Task	07/2012	Occupational Expert
19-3011.01	16906	Develop systems for collecting, analyzing, and interpreting environmental and economic data.	New Green Task	07/2012	Occupational Expert
19-3011.01	16905	Examine the exhaustibility of natural resources or the long-term costs of environmental rehabilitation.	New Green Task	07/2012	Occupational Expert
19-3011.01	16898	Monitor or analyze market and environmental trends.	New Green Task	07/2012	Occupational Expert
19-3011.01	16899	Interpret indicators to ascertain the overall health of an environment.	New Green Task	07/2012	Occupational Expert
19-3011.01	16900	Identify and recommend environmentally-friendly business practices.	New Green Task	07/2012	Occupational Expert
19-3051.00	228	Discuss with planning officials the purpose of land use projects, such as transportation, conservation, residential, commercial, industrial, or community use.	Existing Green Task	07/2014	Occupational Expert
19-3051.00	19775	Advocate for sustainability to community groups, government agencies, the general public, or special interest groups.	New Green Task	07/2014	Occupational Expert
19-3051.00	229	Keep informed about economic or legal issues involved in zoning codes, building codes, or environmental regulations.	Existing Green Task	07/2014	Occupational Expert
19-3051.00	19778	Identify opportunities or develop plans for sustainability projects or programs to improve energy efficiency, minimize pollution or waste, or restore natural systems.	New Green Task	07/2014	Occupational Expert
19-3051.00	19777	Evaluate proposals for infrastructure projects or other development for environmental impact or sustainability.	New Green Task	07/2014	Occupational Expert
19-3051.00	232	Review and evaluate environmental impact reports pertaining to private or public planning projects or programs.	Existing Green Task	07/2014	Occupational Expert
19-3051.00	19776	Develop plans for public or alternative transportation systems for urban or regional locations to reduce carbon output associated with transportation.	New Green Task	07/2014	Occupational Expert
19-3099.01	16944	Produce environmental documents, such as environmental assessments or environmental impact statements.	Existing Green Task	07/2011	Occupational Expert
19-3099.01	16954	Analyze information related to transportation, such as land use policies, environmental impact of projects, or long-range planning needs.	Existing Green Task	07/2011	Occupational Expert
19-3099.01	19779	Collaborate with other professionals to develop sustainable transportation strategies at the local, regional, or national levels.	New Green Task	07/2011	Analyst
19-4011.01	19782	Record environmental data from field samples of soil, air, water, or pests to monitor the effectiveness of integrated pest management (IPM) practices.	New Green Task	07/2014	Incumbent
19-4011.01	19781	Conduct studies of nitrogen or alternative fertilizer application methods, quantities, or timing to ensure satisfaction of crop needs and minimization of leaching, runoff, or denitrification.	New Green Task	07/2014	Incumbent
19-4011.01	19780	Assess comparative soil erosion from various planting or tillage systems, such as conservation tillage with mulch or ridge till systems, no-till systems, or conventional tillage systems with or without moldboard plows.	New Green Task	07/2014	Incumbent
19-4041.01	19783	Apply new technologies, such as improved seismic imaging techniques, to locate untapped oil or natural gas deposits.	New Green Task	07/2011	Analyst
19-4041.01	19784	Collect data on underground areas, such as reservoirs, that could be used in carbon sequestration operations.	New Green Task	07/2011	Analyst
19-4041.01	19785	Collect geological data from potential geothermal energy plant sites.	New Green Task	07/2011	Analyst
19-4041.01	19786	Compile data used to address environmental issues, such as the suitability of potential landfill sites.	New Green Task	07/2011	Analyst
19-4041.01	19787	Conduct geophysical surveys of potential sites for wind farms or solar installations to determine their suitability.	New Green Task	07/2011	Analyst
19-4041.02	9180	Assess the environmental impacts of development projects on subsurface materials.	Existing Green Task	07/2015	Occupational Expert
19-4041.02	19788	Participate in the evaluation of possible geothermal energy plant locations.	New Green Task	07/2015	Occupational Expert
19-4041.02	19789	Test and analyze samples from potential underground carbon sequestration sites.	New Green Task	07/2015	Occupational Expert
19-4051.01	19790	Collect air, water, gas or solid samples for testing to determine radioactivity levels or to ensure appropriate radioactive containment.	New Green Task	07/2011	Analyst
19-4051.01	19791	Decontaminate objects by cleaning them using soap or solvents or by abrading using brushes, buffing machines, or sandblasting machines.	New Green Task	07/2011	Analyst
19-4051.01	19792	Follow nuclear equipment operational policies and procedures that ensure environmental safety.	New Green Task	07/2011	Analyst
19-4051.01	19793	Identify and implement appropriate decontamination procedures, based on equipment and the size, nature, and type of contamination.	New Green Task	07/2011	Analyst
19-4051.01	19794	Measure the intensity and identify the types of radiation in work areas, equipment, or materials, using radiation detectors or other instruments.	New Green Task	07/2011	Analyst
19-4051.01	19795	Monitor nuclear reactor equipment performance to identify operational inefficiencies, hazards, or needs for maintenance or repair.	New Green Task	07/2011	Analyst
